data,cod_loja,cod_produto,descricao_x,qtde_vendas_x,valor_unitario_x(KIKKER),valor_total_x,descricao_y,qtde_vendas_y,valor_unitario_y(CLIENTE),valor_total_y,dif_qtde,dif_total
2023-02-07,2,16018,FLVPERAKG,35545,11.772684,418.46,FLV PERA KG                        ,35545,7.92,281.79,0.0,136.66999999999996
2023-02-07,2,342698,BATATAPOPOSMCCAINCALAB400G,22.0,15.99,351.78,BATATA POPOS MC CAIN CALAB 400G    ,22.0,9.85,216.91,0.0,134.86999999999998
2023-02-07,2,224451,LEITEQUATAINTEGRAL1L,104.0,18.718462,1946.72,LEITE QUATA INTEGRAL 1L            ,104.0,5.29,550.16,0.0,1396.56
